10 1816 5815 1816 5815
26 3076 7049 3076 7049
42 5497 9628 5497 9554
58 8999 13871 8999 13114
74 13615 18482 13615 17777
90 19433 24853 19433 23662
106 26299 40095 26299 30608
122 34285 49301 34285 38671
138 43404 54015 43404 47896
154 53670 69617 53670 58279
170 65068 93714 65068 69797
186 77626 113380 77626 82480
202 91256 129706 91256 96254
218 105959 152188 105959 111126
234 121812 175989 121812 127145
250 138871 199724 138871 144374
266 157021 228125 157021 162715
282 176224 256233 176224 182134
298 196612 287010 196612 202724
314 218136 316584 218136 224479
330 240752 354855 240752 247347
346 264486 389504 264486 271329
362 289414 425876 289414 296527
378 315359 463769 315359 322755
394 342488 499363 342488 350169
410 370767 540645 370767 378739
426 400082 587459 400082 408366
442 430656 632042 430656 439275
458 462221 677651 462221 471177
474 494973 725954 494973 504267
490 528802 775357 528802 538454
506 563862 826537 563862 573902
522 599925 883301 599925 614504
538 637179 944563 637179 659039
554 675513 1013249 675513 710505
570 714966 1076039 714966 755542
586 755518 1136086 755518 797355
602 797354 1197964 797354 840497
618 840245 1261348 840245 884645
634 884094 1326195 884094 929728
650 929249 1392922 929249 976207
666 975533 1461314 975533 1023847
682 1022838 1531136 1022838 1072437
698 1071336 1602714 1071336 1122233
714 1120957 1675976 1120957 1173209
730 1174513 1765360 1174513 1239815
746 1229272 1868019 1229272 1319910
762 1282400 1959183 1282400 1387293
778 1336671 2040210 1336671 1444038
794 1391997 2122765 1391997 1501809
810 1448405 2206812 1448405 1560564
826 1506003 2292636 1506003 1620615
842 1564828 2380302 1564828 1681994
858 1624663 2469351 1624663 1744252
874 1685578 2560002 1685578 1807591
890 1747646 2652401 1747646 1872186
906 1810932 2746596 1810932 1938067
922 1875178 2842105 1875178 2004758
938 1940595 2946750 1940595 2080098
954 2007249 3053598 2007249 2157114
970 2074988 3154512 2074988 2227712
986 2143715 3256768 2143715 2299130
1002 2213670 3360908 2213670 2371926
1018 2284889 3466933 2284889 2446117
1034 2357052 3574271 2357052 2521109
1050 2430303 3683158 2430303 2597138
1066 2504817 3793907 2504817 2674516
1082 2580461 3906418 2580461 2753198
1098 2657103 4020262 2657103 2832669
1114 2734968 4135826 2734968 2913366
1130 2813986 4253269 2813986 2995444
1146 2894047 4372202 2894047 3078497
1162 2975129 4492499 2975129 3162398
1178 3057467 4614654 3057467 3247678
1194 3141024 4738735 3141024 3334370
1210 3225614 4864156 3225614 3421882
1226 3311222 4991057 3311222 3510402
1242 3398023 5119854 3398023 3600289
1258 3486059 5250414 3486059 3691434
1274 3575107 5382316 3575107 3783425
1290 3665248 5515902 3665248 3876569
1306 3756610 5651329 3756610 3971085
1322 3849143 5788385 3849143 4066713
1338 3942587 5926766 3942587 4163150
1354 4037256 6066941 4037256 4260917
1370 4133222 6209035 4133222 4360065
1386 4230093 6352478 4230093 4460062
1402 4328076 6497451 4328076 4561090
1418 4427352 6644384 4427352 4663565
1434 4527685 6792930 4527685 4767142
1450 4629085 6942848 4629085 4871585
1466 4731582 7094467 4731582 4977263
1482 4835414 7248040 4835414 5084360
1498 4940149 7402986 4940149 5192313
1514 5046037 7559496 5046037 5301335
1530 5153102 7717792 5153102 5411635
1546 5261384 7890170 5261384 5535579
1562 5370506 8071285 5370506 5667687
1578 5480746 8269719 5480746 5816622
1594 5592381 8448157 5592381 5945050
1610 5705148 8615611 5705148 6061983
1626 5818880 8784368 5818880 6179732
1642 5933662 8954745 5933662 6298616
1658 6049796 9127135 6049796 6418963
1674 6167120 9301204 6167120 6540504
1690 6285305 9476497 6285305 6662766
1706 6404646 9653489 6404646 6786241
1722 6525293 9832397 6525293 6911115
1738 6646960 10012828 6646960 7036981
1754 6776529 10229659 6776529 7198777
1770 6907402 10475374 6907402 7390629
1786 7032530 10689969 7032530 7549143
1802 7158752 10877917 7158752 7680537
1818 7286204 11067728 7286204 7813300
1834 7414880 11259431 7414880 7947431
1850 7544463 11452306 7544463 8082254
1866 7675087 11646611 7675087 8218015
1882 7807029 11843010 7807029 8355336
1898 7940260 12041355 7940260 8494097
1914 8074376 12240860 8074376 8633526
1930 8209568 12441866 8209568 8773946
1946 8345969 12644771 8345969 8915761
1962 8483533 12864955 8483533 9074361
1978 8622167 13086963 8622167 9234270
1994 8761912 13294947 8761912 9379668
2010 8902813 13504699 8902813 9526303
2026 9044805 13715964 9044805 9673952
2042 9187965 13928873 9187965 9822755
