10 1512 3942
26 2746 5116
42 5115 7372
58 8543 10642
74 13043 15310
90 18689 21231
106 25427 28008
122 33237 35831
138 42116 44744
154 52116 54769
170 63258 65940
186 75456 78164
202 88774 91527
218 103151 105947
234 118652 121480
250 135263 138139
266 152960 155882
282 171729 174701
298 191605 194642
314 212618 215706
330 234677 237833
346 257864 261076
362 282156 285442
378 307486 310834
394 333958 337379
410 361555 365051
426 390200 393770
442 419958 423617
458 450824 454561
474 482752 486583
490 515799 519707
506 550012 554021
522 585247 589352
538 621589 625792
554 659006 667743
570 697575 711086
586 737170 751039
602 777932 792176
618 819772 834401
634 862651 877642
650 906685 922055
666 951825 967570
682 998018 1014132
698 1045330 1061841
714 1093759 1110647
730 1143231 1160535
746 1193844 1211527
762 1245553 1263630
778 1298341 1316807
794 1352224 1371095
810 1407231 1426506
826 1463331 1483030
842 1520501 1540617
858 1578796 1599324
874 1638189 1659137
890 1698660 1720017
906 1760227 1782010
922 1822890 1845100
938 1886644 1909287
954 1951528 1974604
970 2017475 2040986
986 2084548 2108508
1002 2152677 2177082
1018 2221936 2246781
1034 2292283 2317570
1050 2363726 2389467
1066 2436302 2462494
1082 2509918 2536556
1098 2584688 2611808
1114 2660501 2688076
1130 2737438 2765477
1146 2815471 2843978
1162 2894590 2923568
1178 2974798 3004250
1194 3056117 3086058
1210 3138576 3168994
1226 3222058 3252948
1242 3306674 3338057
1258 3392397 3424277
1274 3479222 3511606
1290 3567113 3599989
1306 3656095 3689454
1322 3746190 3780045
1338 3837366 3871722
1354 3929676 3964557
1370 4023087 4058478
1386 4117535 4153432
1402 4213112 4249532
1418 4309802 4346736
1434 4407558 4445009
1450 4506476 4544468
1466 4606413 4644929
1482 4707516 4746580
1498 4809637 4849213
1514 4912930 4953046
1530 5017289 5057965
1546 5122749 5163953
1562 5229276 5278281
1578 5336893 5409276
1594 5445685 5518942
1610 5555518 5629616
1626 5666465 5741437
1642 5778482 5854336
1658 5891595 5968310
1674 6005843 6083408
1690 6121209 6199690
1706 6237610 6316948
1722 6355102 6435292
1738 6473771 6554879
1754 6600451 6682466
1770 6728368 6867841
1786 6850376 7019776
1802 6973516 7144566
1818 7097770 7270522
1834 7223123 7397538
1850 7349534 7525598
1866 7477014 7654757
1882 7605636 7785101
1898 7735397 7916550
1914 7866228 8049088
1930 7998118 8182615
1946 8131121 8317316
1962 8265219 8468778
1978 8400425 8621585
1994 8536715 8759862
2010 8674110 8899231
2026 8812552 9039598
2042 8952171 9181193
